,plateifu,M*,sigma,min,mout,ext,hsig
406,8452-3702,11.282472532215158,2.4656184,11.093808112906052,10.44484002917403,1.0,0.0
407,8452-3703,11.600077016264068,2.4013102,11.225807320037195,11.126592575939629,0.0,0.0
408,8452-6103,11.324799258233591,2.3476667,11.069709650383329,10.689126527338384,0.0,1.0
409,8452-9101,11.434724444763061,2.4292305,11.138499697370907,10.865060908163349,0.0,-1.0
410,8454-12704,11.347183087081037,2.4199147,11.038792330039032,10.785136056426131,-1.0,-1.0
411,8454-6103,11.46479059897283,2.3054974,11.119239409923615,10.992380467622947,-1.0,1.0
412,8455-12703,11.641497198029178,2.3312104,10.936824480181027,11.421105452994466,0.0,1.0
413,8455-12704,11.229546944195205,2.2648396,10.941665678589725,10.62574877274217,-1.0,1.0
414,8456-6103,11.504695190632836,2.3487248,11.2012947781956,10.93556261162106,0.0,1.0
415,8458-9101,11.388146513710975,2.3298926,11.025237428749126,10.887868971139103,-1.0,1.0
416,8461-12701,11.6692432642143,2.4032445,11.194628371323242,11.352371081182666,-1.0,1.0
417,8461-3701,11.28954661490285,2.3434384,11.070608617723172,10.638011733946119,0.0,1.0
418,8461-3702,11.522395623027993,2.4107325,11.231265456004376,10.967378423407272,1.0,0.0
419,8461-3703,11.388523375451038,2.3929288,11.17721683425308,10.600446261645388,1.0,-1.0
420,8466-3704,11.452854547034685,2.4528208,11.112813456135742,10.957055812164944,-1.0,-1.0
421,8466-6104,11.636052083453823,2.3588603,11.243384772454046,11.209588119029238,0.0,1.0
422,8482-12701,11.4444040406323,2.295784,11.125158364522289,10.870125702299053,0.0,1.0
423,8482-12704,11.391223097130425,2.333005,11.123220219046784,10.777968027279092,0.0,1.0
424,8482-3703,11.301945715785429,2.321681,11.06597958795278,10.62974709497236,0.0,1.0
425,8482-6102,11.265989085826389,2.3566613,11.000323479347758,10.703884153671519,-1.0,0.0
426,8482-6103,11.311135536017018,2.408916,11.042156950523259,10.761239087641318,-1.0,-1.0
427,8483-6104,11.559869129340354,2.4195106,11.129681058536118,11.172212081373477,-1.0,0.0
428,8484-12701,11.406619861298438,2.347105,11.04718122723822,10.958752533252655,-1.0,1.0
429,8484-9102,11.224951086656793,2.2864935,10.976993178984994,10.517508692123732,0.0,1.0
430,8485-9101,11.531888724106365,2.4155965,11.141604712010736,11.125125153783658,-1.0,0.0
431,8487-12702,11.30701757402548,2.4574568,11.063303961891531,10.697792513897644,0.0,-1.0
432,8487-6104,11.241195318429904,2.3060522,11.105241718341128,10.099687203673042,0.0,0.0
433,8488-12703,11.475926944627485,2.3792045,11.150247276207693,10.994273521898945,0.0,1.0
434,8488-6102,11.59465069712558,2.3506727,11.219497034200398,11.148144807623872,0.0,1.0
435,8488-6103,11.24635203499156,2.384948,11.060843436514755,10.266602022841688,1.0,-1.0
436,8546-3701,11.673565766951226,2.3946693,11.280560297122292,11.245204001303698,0.0,1.0
437,8547-9101,11.432895313766549,2.4016151,11.124418123056014,10.896166107303875,0.0,0.0
438,8549-6101,11.430429013739422,2.3473856,11.166954129266852,10.811666506487498,1.0,1.0
439,8549-9101,11.279311501926362,2.2815554,11.025864052846757,10.630481159417025,0.0,1.0
440,8551-3702,11.367807599413412,2.3247707,11.087760880460541,10.783051041924011,0.0,1.0
441,8552-6104,11.344820649894716,2.3821826,11.09974740792269,10.673081194290756,0.0,0.0
442,8553-6102,11.278806449026344,2.3346658,11.103165683809173,10.429871108831671,1.0,0.0
443,8554-6103,11.746969855895262,2.4798462,11.293716067442768,11.371293283577685,0.0,-1.0
444,8555-12704,11.810490955774224,2.4426885,11.201274512832843,11.521323680246095,-1.0,0.0
445,8555-6101,11.687643138227749,2.408008,11.406543137442954,11.0916186169611,0.0,0.0
446,8555-6103,11.649653651327723,2.4241683,11.181498221964869,11.262588890084121,-1.0,0.0
447,8555-6104,11.282762229166535,2.3456948,11.084478097094896,10.47985353120417,1.0,0.0
448,8555-9101,11.44738371890121,2.4164667,11.227929307805335,10.72760307673483,1.0,-1.0
449,8561-6101,11.453514079402757,2.4097028,11.168673793387057,10.892604276019114,0.0,0.0
450,8563-3703,11.238394033593998,2.3218253,11.071373910006063,10.314699587234216,1.0,0.0
451,8565-12702,11.231863512401544,2.2448616,10.895078764451727,10.746473653575213,-1.0,0.0
452,8566-6102,11.236270483322727,2.3046122,10.942932137523512,10.625271509493606,-1.0,1.0
453,8568-9102,11.343283607876769,2.3334258,11.06433528610517,10.725760491859338,0.0,1.0
454,8569-1901,11.417340421971526,2.3349175,11.040567954695062,10.949283614579864,-1.0,1.0
455,8570-3704,11.352694018000767,2.3915858,11.1384598072122,10.603452077632749,1.0,-1.0
456,8591-3704,11.524855484170356,2.4413795,11.145906208938422,11.08129178585084,-1.0,-1.0
